FIPS,NameState,FIPS_County,Name_County,Year_ID,ID_Tumor,Type_Tumor,Sex_ID,Sex_name,Mortality,Population
38,North Dakota,38001,Adams County,2000,411,Esophageal cancer,1,Male,8.75193744939147,1235
38,North Dakota,38001,Adams County,2000,414,Stomach cancer,1,Male,8.07810192877994,1235
38,North Dakota,38001,Adams County,2000,417,Liver cancer,1,Male,5.75700044825302,1235
38,North Dakota,38001,Adams County,2000,423,Larynx cancer,1,Male,2.78907804102077,1235
38,North Dakota,38001,Adams County,2000,426,"Tracheal, bronchus, and lung cancer",1,Male,76.7470361093747,1235
38,North Dakota,38001,Adams County,2000,429,Breast cancer,1,Male,0.357128231450648,1235
38,North Dakota,38001,Adams County,2000,438,Prostate cancer,1,Male,35.4093378535541,1235
38,North Dakota,38001,Adams County,2000,441,Colon and rectum cancer,1,Male,37.1061451996599,1235
38,North Dakota,38001,Adams County,2000,444,Lip and oral cavity cancer,1,Male,2.59665131810734,1235
38,North Dakota,38001,Adams County,2000,447,Nasopharynx cancer,1,Male,0.325219329430332,1235
38,North Dakota,38001,Adams County,2000,453,Gallbladder and biliary tract cancer,1,Male,1.31042699237724,1235
38,North Dakota,38001,Adams County,2000,456,Pancreatic cancer,1,Male,13.9363707452224,1235
38,North Dakota,38001,Adams County,2000,459,Malignant skin melanoma,1,Male,3.58859309447319,1235
38,North Dakota,38001,Adams County,2000,462,Non-melanoma skin cancer,1,Male,1.32761178324721,1235
38,North Dakota,38001,Adams County,2000,468,Testicular cancer,1,Male,0.29764552378808,1235
38,North Dakota,38001,Adams County,2000,471,Kidney cancer,1,Male,7.82082941941876,1235
38,North Dakota,38001,Adams County,2000,474,Bladder cancer,1,Male,8.10176799500639,1235
38,North Dakota,38001,Adams County,2000,477,Brain and nervous system cancer,1,Male,6.89662261380835,1235
38,North Dakota,38001,Adams County,2000,480,Thyroid cancer,1,Male,0.556023026105373,1235
38,North Dakota,38001,Adams County,2000,483,Mesothelioma,1,Male,1.99603781249822,1235
38,North Dakota,38001,Adams County,2000,484,Hodgkin lymphoma,1,Male,0.558649942702524,1235
38,North Dakota,38001,Adams County,2000,485,Non-Hodgkin lymphoma,1,Male,12.5013551843466,1235
38,North Dakota,38001,Adams County,2000,486,Multiple myeloma,1,Male,5.5975039245255,1235
38,North Dakota,38001,Adams County,2000,487,Leukemia,1,Male,14.0544919462937,1235
38,North Dakota,38001,Adams County,2000,845,Acute lymphoid leukemia,1,Male,0.862215876559291,1235
38,North Dakota,38001,Adams County,2000,846,Chronic lymphoid leukemia,1,Male,5.19890962084108,1235
38,North Dakota,38001,Adams County,2000,847,Acute myeloid leukemia,1,Male,6.50062989763968,1235
38,North Dakota,38001,Adams County,2000,848,Chronic myeloid leukemia,1,Male,1.49273655125365,1235
38,North Dakota,38003,Barnes County,2000,411,Esophageal cancer,1,Male,9.19933926174226,5763
38,North Dakota,38003,Barnes County,2000,414,Stomach cancer,1,Male,7.37272164086784,5763
38,North Dakota,38003,Barnes County,2000,417,Liver cancer,1,Male,4.74037709259424,5763
38,North Dakota,38003,Barnes County,2000,423,Larynx cancer,1,Male,2.8999345633766,5763
38,North Dakota,38003,Barnes County,2000,426,"Tracheal, bronchus, and lung cancer",1,Male,67.9172141670645,5763
38,North Dakota,38003,Barnes County,2000,429,Breast cancer,1,Male,0.349537178917189,5763
